,FOLIO,FECHA,IMPORTE_VENTA,IMPUESTOS_VENTA,TIPO_CAMBIO,CONTABILIZADO
0,DVC000001,2014-08-15,43.1,6.9,1.0,S
1,DVC000002,2014-08-15,180.0,28.8,1.0,S
2,DVC000003,2014-08-18,180.0,28.8,1.0,S
3,DVC000004,2014-08-19,544.0,87.04,1.0,S
4,DVC000005,2014-08-22,2678.0,428.48,1.0,S
5,DVC000006,2014-08-25,301.6,48.26,1.0,S
6,DVC000007,2014-08-26,4174.74,667.96,1.0,S
7,DVC000008,2014-08-26,363.0,58.08,1.0,S
8,DVC000009,2014-08-28,3149.43,503.91,1.0,S
9,DVC000010,2014-08-29,85.34,13.65,1.0,S
10,DVC000011,2014-08-29,564.0,90.24,1.0,S
11,DVC000012,2014-09-02,1743.6,278.98,1.0,S
12,DVC000013,2014-09-02,510.0,81.6,1.0,S
13,DVC000014,2014-09-03,954.72,152.76,1.0,S
14,DVC000015,2014-09-03,65.0,10.4,1.0,S
15,DVC000016,2014-09-03,376.0,60.16,1.0,S
16,DVC000017,2014-09-03,180.0,28.8,1.0,S
17,DVC000018,2014-09-05,1619.2,259.07,1.0,S
18,DVC000019,2014-09-05,530.0,84.8,1.0,S
19,DVC000020,2014-09-05,178.0,28.48,1.0,S
20,DVC000021,2014-09-08,43.1,6.9,1.0,S
21,DVC000022,2014-09-08,564.0,90.24,1.0,S
22,DVC000023,2014-09-09,1874.08,299.85,1.0,S
23,DVC000024,2014-09-09,7737.6,1238.02,1.0,S
24,DVC000025,2014-09-09,175.0,28.0,1.0,S
25,DVC000026,2014-09-10,3847.2,615.55,1.0,S
26,DVC000027,2014-09-10,188.0,30.08,1.0,S
27,DVC000028,2014-09-12,360.0,57.6,1.0,S
28,DVC000029,2014-09-12,1038.77,166.2,1.0,S
29,DVC000030,2014-09-12,1128.4,180.54,1.0,S
30,DVC000031,2014-09-15,954.72,152.76,1.0,S
31,DVC000032,2014-09-17,188.0,30.08,1.0,S
32,DVC000033,2014-09-17,185.0,29.6,1.0,N
33,DVC000034,2014-09-17,185.0,29.6,1.0,S
34,DVC000035,2014-09-18,70.0,11.2,1.0,S
35,DVC000036,2014-09-19,376.0,60.16,1.0,S
36,DVC000037,2014-09-19,198806.0,31808.96,1.0,S
37,DVC000038,2014-09-22,291.2,46.59,1.0,S
38,DVC000039,2014-09-22,376.0,60.16,1.0,S
39,DVC000040,2014-09-23,561.6,89.86,1.0,S
40,DVC000041,2014-09-23,2853.98,456.64,1.0,S
